epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0463,1.86641,5.51272,1.20503,0.16841,0.08333,0.008,0.00537,1.66168,5.10111,1.11965,0.09802,2e-05,2e-05
2,66.9057,1.7646,3.38839,0.97975,0.00369,0.13542,0.00983,0.00614,1.81306,4.63942,1.15193,0.0950495,4.9505e-05,4.9505e-05
3,104.799,1.62437,2.59001,0.95023,0.01039,0.20124,0.05486,0.02329,1.67161,3.6745,1.11449,0.0920784,7.8416e-05,7.8416e-05
4,140.4,1.48903,2.10196,0.90967,0.67414,0.10639,0.12753,0.06639,1.81029,3.54188,1.14629,0.0891067,0.000106733,0.000106733
5,182.274,1.46455,1.9287,0.93554,0.01639,0.23485,0.12637,0.07152,1.98856,3.67809,1.14459,0.0861345,0.000134456,0.000134456
6,217.499,1.42278,1.98698,0.8833,0.29249,0.26723,0.18717,0.12004,1.87554,3.6125,1.10319,0.0831616,0.000161585,0.000161585
7,251.665,1.5097,1.75447,0.88239,0.5229,0.09707,0.23622,0.15604,1.76866,3.26954,1.04416,0.0801881,0.00018812,0.00018812
8,283.945,1.35455,1.70266,0.8693,0.65493,0.19006,0.28161,0.20405,1.69493,3.2604,1.01353,0.0772141,0.000214061,0.000214061
9,316.776,1.29887,1.48814,0.87798,0.31704,0.18469,0.23596,0.16166,1.65588,4.05025,0.98256,0.0742394,0.000239408,0.000239408
10,348.843,1.29788,1.53765,0.85722,0.30638,0.19603,0.24617,0.16584,1.57566,3.90944,0.95635,0.0712642,0.000264161,0.000264161
11,381.621,1.23682,1.49003,0.8467,0.5861,0.21154,0.319,0.1908,1.52244,3.26113,0.94732,0.0682883,0.00028832,0.00028832
12,413.867,1.08376,1.23873,0.85616,0.51155,0.22344,0.32254,0.19271,1.47316,3.15422,0.94785,0.0653119,0.000311885,0.000311885
13,447.793,1.1751,1.32618,0.8475,0.42414,0.24761,0.32461,0.21272,1.43072,2.93618,0.93634,0.0623349,0.000334856,0.000334856
14,478.338,1.15011,1.26433,0.84532,0.5613,0.2507,0.37138,0.23623,1.41613,2.78691,0.92955,0.0593572,0.000357233,0.000357233
15,510.523,1.09478,1.12418,0.82121,0.87415,0.19654,0.37598,0.23704,1.33177,2.63303,0.92484,0.056379,0.000379016,0.000379016
16,544.269,1.16646,1.15998,0.83462,0.75526,0.19639,0.38928,0.26616,1.27883,2.57513,0.91936,0.0534002,0.000400205,0.000400205
17,576.687,1.07025,1.14594,0.86363,0.10168,0.50964,0.34248,0.25227,1.24947,3.09391,0.90993,0.0504208,0.0004208,0.0004208
18,608.157,1.0084,1.08491,0.84221,0.57001,0.24768,0.43258,0.29099,1.22298,2.85329,0.88853,0.0474408,0.000440801,0.000440801
19,639.429,1.09555,1.11449,0.84343,0.48552,0.32436,0.47898,0.32937,1.23139,2.42025,0.87251,0.0444602,0.000460208,0.000460208
20,670.903,1.33968,1.6138,0.91428,0.67454,0.32793,0.48318,0.333,1.23192,2.37826,0.86754,0.041479,0.000479021,0.000479021
21,702.756,1.14839,1.13306,0.83553,0.68395,0.30751,0.5021,0.34719,1.21783,2.24837,0.86706,0.0384972,0.00049724,0.00049724
22,735.249,1.16727,1.22841,0.8333,0.74707,0.36181,0.56919,0.38381,1.18343,1.81924,0.8657,0.0355149,0.000514865,0.000514865
23,768.148,1.09058,1.0533,0.81983,0.66797,0.48971,0.60805,0.40413,1.15765,1.58237,0.86857,0.0325319,0.000531896,0.000531896
24,800.408,1.00359,1.09371,0.83682,0.73403,0.47851,0.62692,0.40957,1.16804,1.61941,0.87454,0.0295483,0.000548333,0.000548333
25,837.034,0.9695,0.96296,0.84177,0.66322,0.48137,0.62373,0.41186,1.16656,1.57035,0.87268,0.0265642,0.000564176,0.000564176
26,875.182,1.00813,0.94412,0.84065,0.60528,0.53656,0.60933,0.40918,1.15198,1.35243,0.86631,0.0235794,0.000579425,0.000579425
27,907.859,1.10164,0.94841,0.83539,0.50043,0.57574,0.5961,0.42154,1.11253,1.21259,0.86801,0.0205941,0.00059408,0.00059408
28,944.647,1.05786,0.99052,0.82361,0.4926,0.59622,0.5772,0.40608,1.12794,1.22847,0.871,0.0176081,0.000608141,0.000608141
29,978.249,1.02831,0.9953,0.84326,0.4926,0.59622,0.5772,0.40608,1.12794,1.22847,0.871,0.0146216,0.000621608,0.000621608
30,1012.31,1.07433,1.0984,0.84995,0.78509,0.46613,0.58601,0.41012,1.13624,1.24743,0.87723,0.0116345,0.000634481,0.000634481
31,1045,0.99012,0.90762,0.83315,0.707,0.60054,0.6202,0.43759,1.07175,1.12423,0.88196,0.00864676,0.00064676,0.00064676
32,1075.08,1.04183,0.92299,0.82692,0.78763,0.60555,0.64572,0.4495,1.03572,1.01704,0.88463,0.00565844,0.000658445,0.000658445
33,1107.88,0.95764,0.84585,0.83261,0.78763,0.60555,0.64572,0.4495,1.03572,1.01704,0.88463,0.00266954,0.000669536,0.000669536
34,1140.02,0.96109,0.83531,0.8395,0.69197,0.67626,0.65923,0.46147,1.02276,0.98317,0.87013,0.0006733,0.0006733,0.0006733
35,1175.56,0.9236,0.9072,0.844,0.73579,0.66086,0.68063,0.48042,1.00301,0.92067,0.85179,0.0006634,0.0006634,0.0006634
36,1210.28,1.04844,1.01636,0.83001,0.71082,0.63635,0.68552,0.4886,0.95968,0.85448,0.84164,0.0006535,0.0006535,0.0006535
37,1243,0.92827,0.84869,0.83753,0.71082,0.63635,0.68552,0.4886,0.95968,0.85448,0.84164,0.0006436,0.0006436,0.0006436
38,1276.58,1.12057,2.97773,0.79918,0.79484,0.62526,0.70582,0.49248,0.93609,0.86227,0.83118,0.0006337,0.0006337,0.0006337
39,1311.36,0.94081,0.83452,0.79403,0.84103,0.60739,0.72352,0.49546,0.96814,0.94203,0.83149,0.0006238,0.0006238,0.0006238
40,1344.76,1.0055,0.93206,0.81513,0.8011,0.61799,0.73191,0.49351,0.98251,0.94756,0.83281,0.0006139,0.0006139,0.0006139
41,1377.61,0.9835,0.86384,0.83515,0.8011,0.61799,0.73191,0.49351,0.98251,0.94756,0.83281,0.000604,0.000604,0.000604
42,1410.45,0.90669,0.82232,0.81093,0.80007,0.63029,0.73571,0.49544,0.96482,0.87682,0.83067,0.0005941,0.0005941,0.0005941
43,1444.05,0.89749,0.81651,0.84454,0.68846,0.71563,0.73719,0.50686,0.93078,0.86895,0.82929,0.0005842,0.0005842,0.0005842
44,1476.24,0.92834,0.80856,0.81566,0.70337,0.6715,0.71684,0.52639,0.89699,0.9086,0.83216,0.0005743,0.0005743,0.0005743
45,1508.19,0.95663,0.81411,0.83163,0.70337,0.6715,0.71684,0.52639,0.89699,0.9086,0.83216,0.0005644,0.0005644,0.0005644
46,1540.07,0.93921,0.74253,0.83956,0.76828,0.64881,0.72166,0.52417,0.9176,0.98005,0.83617,0.0005545,0.0005545,0.0005545
47,1573.4,0.91876,0.72802,0.8312,0.79896,0.64661,0.72499,0.52104,0.94835,1.00079,0.83892,0.0005446,0.0005446,0.0005446
48,1607.72,0.96312,0.83332,0.82397,0.738,0.64931,0.74372,0.52809,0.96446,0.90658,0.8383,0.0005347,0.0005347,0.0005347
49,1641.27,0.93572,0.84555,0.84456,0.738,0.64931,0.74372,0.52809,0.96446,0.90658,0.8383,0.0005248,0.0005248,0.0005248
50,1674.91,0.93038,0.73658,0.8138,0.71515,0.67803,0.74432,0.50951,0.9498,0.88231,0.83864,0.0005149,0.0005149,0.0005149
51,1708.03,0.91896,0.76722,0.81291,0.71626,0.69541,0.7527,0.49955,0.95429,0.87871,0.84486,0.000505,0.000505,0.000505
52,1742.61,0.91156,0.75542,0.81774,0.83839,0.66744,0.75387,0.49943,0.94733,0.86808,0.85301,0.0004951,0.0004951,0.0004951
53,1775.72,0.84785,0.68775,0.8153,0.83839,0.66744,0.75387,0.49943,0.94733,0.86808,0.85301,0.0004852,0.0004852,0.0004852
54,1812.52,0.8741,0.67531,0.82092,0.85653,0.64011,0.74779,0.51257,0.93991,0.8541,0.86248,0.0004753,0.0004753,0.0004753
55,1846.22,0.87234,0.72828,0.80062,0.87184,0.61328,0.73743,0.51542,0.93795,0.85814,0.86699,0.0004654,0.0004654,0.0004654
56,1881.3,0.85032,0.73122,0.82371,0.78777,0.64537,0.73459,0.51677,0.95018,0.8785,0.8709,0.0004555,0.0004555,0.0004555
57,1915.77,0.86652,0.79427,0.83518,0.78777,0.64537,0.73459,0.51677,0.95018,0.8785,0.8709,0.0004456,0.0004456,0.0004456
58,1949.92,0.84576,0.67549,0.8339,0.79105,0.68108,0.74531,0.52797,0.92064,0.80646,0.86488,0.0004357,0.0004357,0.0004357
59,1980.54,0.87851,0.69006,0.81651,0.83724,0.68377,0.75459,0.53902,0.87549,0.76425,0.85292,0.0004258,0.0004258,0.0004258
60,2010.3,0.79088,0.65865,0.80004,0.81554,0.67555,0.75704,0.53862,0.84772,0.74938,0.84436,0.0004159,0.0004159,0.0004159
61,2041.59,0.88082,0.65566,0.80803,0.81554,0.67555,0.75704,0.53862,0.84772,0.74938,0.84436,0.000406,0.000406,0.000406
62,2070.56,0.79602,0.69347,0.8114,0.79819,0.70008,0.75753,0.5462,0.83208,0.76331,0.83746,0.0003961,0.0003961,0.0003961
63,2098.04,0.80309,0.646,0.8035,0.809,0.70748,0.75762,0.5502,0.83218,0.77034,0.83302,0.0003862,0.0003862,0.0003862
64,2126.1,0.9874,0.77918,0.80908,0.82168,0.70765,0.75937,0.5482,0.84228,0.7783,0.83182,0.0003763,0.0003763,0.0003763
65,2155.05,0.81615,0.68206,0.8239,0.82168,0.70765,0.75937,0.5482,0.84228,0.7783,0.83182,0.0003664,0.0003664,0.0003664
66,2183.5,0.86754,0.7419,0.82779,0.83595,0.71222,0.77243,0.55625,0.84141,0.73812,0.83019,0.0003565,0.0003565,0.0003565
67,2210.7,0.83374,0.64609,0.82387,0.84215,0.6969,0.77041,0.5641,0.8261,0.68258,0.82819,0.0003466,0.0003466,0.0003466
68,2240.37,0.79343,0.67966,0.84121,0.87941,0.67045,0.76632,0.56273,0.8119,0.64945,0.82963,0.0003367,0.0003367,0.0003367
69,2267.63,0.79277,0.62975,0.80125,0.87941,0.67045,0.76632,0.56273,0.8119,0.64945,0.82963,0.0003268,0.0003268,0.0003268
70,2294.77,0.77021,0.63582,0.79965,0.90136,0.65873,0.76429,0.56889,0.81055,0.64345,0.83287,0.0003169,0.0003169,0.0003169
71,2321.74,0.81939,0.65811,0.81732,0.91808,0.65342,0.76715,0.57532,0.80752,0.64418,0.83543,0.000307,0.000307,0.000307
72,2349.64,0.83626,0.68694,0.84458,0.87284,0.66861,0.76707,0.57849,0.80862,0.64822,0.83428,0.0002971,0.0002971,0.0002971
73,2378.43,0.8353,0.6259,0.80957,0.87284,0.66861,0.76707,0.57849,0.80862,0.64822,0.83428,0.0002872,0.0002872,0.0002872
74,2405.49,0.80451,0.6461,0.81267,0.91653,0.64233,0.76607,0.57478,0.80974,0.65265,0.83248,0.0002773,0.0002773,0.0002773
75,2432.42,0.78342,0.66776,0.81491,0.91718,0.63909,0.76398,0.56869,0.8,0.64805,0.82898,0.0002674,0.0002674,0.0002674
76,2459.35,0.82257,0.62561,0.8121,0.91752,0.64451,0.76634,0.58071,0.78808,0.63212,0.82588,0.0002575,0.0002575,0.0002575
77,2486.39,0.80878,0.63041,0.79704,0.91752,0.64451,0.76634,0.58071,0.78808,0.63212,0.82588,0.0002476,0.0002476,0.0002476
78,2515.64,0.84461,0.63267,0.8435,0.91533,0.65096,0.76785,0.57342,0.78607,0.61408,0.82109,0.0002377,0.0002377,0.0002377
79,2542.5,0.77572,0.5749,0.85699,0.90487,0.65127,0.77106,0.56753,0.77614,0.5989,0.81718,0.0002278,0.0002278,0.0002278
80,2569.56,0.78539,0.57523,0.81162,0.88361,0.64794,0.77023,0.57471,0.76441,0.59282,0.81513,0.0002179,0.0002179,0.0002179
81,2596.37,0.74093,0.58128,0.8167,0.88361,0.64794,0.77023,0.57471,0.76441,0.59282,0.81513,0.000208,0.000208,0.000208
82,2623.3,0.74749,0.5688,0.83861,0.88118,0.65208,0.77009,0.57982,0.75346,0.59324,0.81346,0.0001981,0.0001981,0.0001981
83,2650.17,0.74465,0.603,0.80657,0.87052,0.65857,0.77139,0.58316,0.7496,0.59453,0.81286,0.0001882,0.0001882,0.0001882
84,2677.25,0.79205,0.58265,0.79393,0.877,0.66035,0.77099,0.58521,0.74051,0.59533,0.81172,0.0001783,0.0001783,0.0001783
85,2704.52,0.75764,0.57238,0.80401,0.877,0.66035,0.77099,0.58521,0.74051,0.59533,0.81172,0.0001684,0.0001684,0.0001684
86,2731.42,0.80568,0.61959,0.79533,0.91755,0.64613,0.77268,0.59102,0.73404,0.59249,0.81169,0.0001585,0.0001585,0.0001585
87,2758.47,0.78401,0.61786,0.79953,0.90025,0.65578,0.77208,0.58996,0.73284,0.59211,0.81193,0.0001486,0.0001486,0.0001486
88,2785.55,0.79884,0.5838,0.84878,0.89182,0.65936,0.77293,0.58858,0.73446,0.60071,0.81278,0.0001387,0.0001387,0.0001387
89,2812.56,0.74232,0.56413,0.82524,0.89182,0.65936,0.77293,0.58858,0.73446,0.60071,0.81278,0.0001288,0.0001288,0.0001288
90,2839.56,0.76939,0.56926,0.80733,0.88457,0.6636,0.77211,0.58345,0.74098,0.60777,0.81305,0.0001189,0.0001189,0.0001189
91,2868.62,0.74925,0.60534,0.79937,0.88155,0.66655,0.77001,0.58024,0.74874,0.60914,0.81293,0.000109,0.000109,0.000109
92,2895.29,0.86553,0.70823,0.82715,0.86127,0.66336,0.76528,0.58031,0.7537,0.61224,0.81356,9.91e-05,9.91e-05,9.91e-05
93,2922.04,0.76621,0.6147,0.8187,0.86127,0.66336,0.76528,0.58031,0.7537,0.61224,0.81356,8.92e-05,8.92e-05,8.92e-05
94,2948.77,0.75122,0.6381,0.79395,0.86853,0.65423,0.76775,0.57857,0.75648,0.61527,0.81416,7.93e-05,7.93e-05,7.93e-05
95,2975.46,0.82711,0.61601,0.82451,0.80424,0.70508,0.7686,0.5763,0.75863,0.61607,0.81448,6.94e-05,6.94e-05,6.94e-05
